Comment Text,Comment Score,Parent Comment ID,Comment Depth,Created Timestamp
পা ধোয়া পানি intensifies,33,t3_lfuxtt,0,1612856373.0
আমি বুঝি না আরিফ ভাই এর ছেলেকে সব ভালো কাজে Trademark দিয়াছে কে,16,t3_lfuxtt,0,1612857760.0
And 1 crunch every time অমুকের পোলা/মাইয়া does better at anything than me.,16,t3_lfuxtt,0,1612858018.0
Relatable 100,8,t3_lfuxtt,0,1612859961.0
Also 1 kick on another guy's ass,2,t3_lfuxtt,0,1612873095.0
not all women.,2,t3_lfuxtt,0,1612879737.0
True,1,t3_lfuxtt,0,1612893570.0
Lol,1,t3_lfuxtt,0,1613032937.0
Most relateble thing ever,1,t3_lfuxtt,0,1613039181.0
